,tweets,id,length,date,source,likes,retweets,sentiment,pnn
140,"Just days after reopening its American assembly plants, Ford temporarily shut down two separate factories because e… https://t.co/CxH6e8gptG",1263204716932104193,140,2020-05-20 20:27:28,SocialFlow,717,479,-1,Negative
141,"Target, Walmart, Amazon and Home Depot have all reported sales increases during their latest quarters, but said tha… https://t.co/QEj7XCMsez",1263204560950132736,140,2020-05-20 20:26:51,SocialFlow,158,48,1,Positive
142,JUST IN: The Supreme Court has temporarily blocked the release of Mueller grand jury material to the Democratic-led… https://t.co/bcwmCD1xMl,1263204552184135680,140,2020-05-20 20:26:49,SocialFlow,579,202,1,Positive
143,President Trump will likely decide within the next few days whether to host the G7 in person after he publicly rais… https://t.co/7zO8EJ8oJW,1263200721534681094,140,2020-05-20 20:11:35,SocialFlow,175,61,-1,Negative
144,"Witnesses' videos and images show just how much water was unleashed when Michigan's Edenville Dam failed.

Official… https://t.co/ZtthvIFllX",1263196915166052354,140,2020-05-20 19:56:28,SocialFlow,456,220,-1,Negative
145,"One day after reopening a Chicago assembly plant, Ford has temporarily shut down the factory because two employees… https://t.co/9JZc0PehI0",1263192821097541634,139,2020-05-20 19:40:12,SocialFlow,554,293,-1,Negative
146,Activists are protesting the shortage of affordable housing — a longstanding crisis worsened by the coronavirus pan… https://t.co/oACpvZFiAB,1263187517425233922,140,2020-05-20 19:19:07,SocialFlow,279,115,0,Nuetral
147,"A Japanese woman known as ""Gamer Grandma"" to her 250,000 YouTube subscribers, started gaming almost 40 years ago.… https://t.co/iZhslWuA87",1263182987467927560,138,2020-05-20 19:01:07,SocialFlow,955,218,0,Nuetral
148,"It is becoming increasingly evident that hurricanes, typhoons, and tropical cyclones worldwide are becoming stronge… https://t.co/Zh7QpXyuxa",1263180203288821761,140,2020-05-20 18:50:03,SocialFlow,613,255,1,Positive
149,Johnson &amp; Johnson is abandoning a product that it may be most identified with and has been selling for more than 10… https://t.co/ZUK9da5g4b,1263177716473479170,144,2020-05-20 18:40:10,SocialFlow,451,234,1,Positive
150,"""My dream is to meet every kid in the entire world and give them art."" This girl has sent over 1,500 children in ho… https://t.co/Zk19uVVh8a",1263175175513821185,140,2020-05-20 18:30:05,SocialFlow,1691,285,0,Nuetral
151,"Dr. James ""Charlie"" Mahoney, a doctor who died while on the front line of the fight against coronavirus, had been a… https://t.co/lk0xXTzLry",1263172659136696320,140,2020-05-20 18:20:05,SocialFlow,870,233,0,Nuetral
152,The fate of CDC director Dr. Robert Redfield is in question https://t.co/sBlrnSrNvT,1263170160887828483,83,2020-05-20 18:10:09,SocialFlow,207,80,0,Nuetral
153,"CDC sources say the White House is putting politics ahead of science, which is worsening the impacts of the coronav… https://t.co/cXAuEpVnQQ",1263167617294008324,140,2020-05-20 18:00:03,SocialFlow,637,294,0,Nuetral
154,"Thousands evacuate after dams fail, and Michigan's governor warns that a city of 41,000 people could soon be under… https://t.co/iD6BOxQ7WJ",1263165347919810561,139,2020-05-20 17:51:02,SocialFlow,224,116,-1,Negative
155,"President Trump has tweeted his congratulations to Tiffany Trump, the fourth of his five children, in support of he… https://t.co/yjlq0yqxTr",1263162585370804224,140,2020-05-20 17:40:03,SocialFlow,3214,273,0,Nuetral
156,"Across the United States, store workers are having to help enforce the rules designed to keep their workplaces oper… https://t.co/bFfS6bmucK",1263160095229214726,140,2020-05-20 17:30:09,SocialFlow,245,88,0,Nuetral
157,"The Georgia Bureau of Investigation searched the home of two men charged in the death of Ahmaud Arbery, the agency… https://t.co/ig5dudK55N",1263157564327542784,139,2020-05-20 17:20:06,SocialFlow,374,98,0,Nuetral
158,"Sears has been in trouble for years, but the coronavirus pandemic could be the end. https://t.co/m5RhPsJu85",1263155030472957953,107,2020-05-20 17:10:02,SocialFlow,201,65,-1,Negative
159,Another heir of Walt Disney is publicly expressing disgust with the company his grandfather founded for furloughing… https://t.co/zGuiEIApWX,1263152558190755841,140,2020-05-20 17:00:12,SocialFlow,1642,454,0,Nuetral
160,The agency in charge of public transit in New York City announced a pilot program using ultraviolet light lamps in… https://t.co/BX6xc209CM,1263150002441986050,139,2020-05-20 16:50:03,SocialFlow,616,185,1,Positive
161,A Senate panel has voted to issue a subpoena as part of the GOP-led investigation into the Ukrainian energy firm th… https://t.co/ueRybKj3OK,1263147490519416832,140,2020-05-20 16:40:04,SocialFlow,231,66,-1,Negative
162,"National unemployment stands at a jaw-dropping 14.7%, but the rate rises to 25.7% for those aged 20-24, according t… https://t.co/ypdTIWpQgO",1263144986192875520,140,2020-05-20 16:30:07,SocialFlow,348,141,-1,Negative
163,"The success of a British production of ""The Tempest"" — performed on video conferencing app Zoom — proves that, desp… https://t.co/ZrGozZA4zt",1263139950360432641,140,2020-05-20 16:10:06,SocialFlow,234,54,1,Positive
164,"With gyms still closed in most US states and many online fitness sites sold out of equipment, finding safe and effe… https://t.co/0gEpqcM5Mb",1263137439792672769,140,2020-05-20 16:00:08,SocialFlow,203,51,1,Positive
165,The singer who doesn't like to show the world her face is giving us a glimpse of her heart https://t.co/3LxsvU3kuH,1263134926989377536,114,2020-05-20 15:50:09,SocialFlow,1137,154,0,Nuetral
166,"Secretary of State Mike Pompeo defended his push to have his department's inspector general fired, saying he ""shoul… https://t.co/1PsxFrGg8s",1263132405579177984,140,2020-05-20 15:40:08,SocialFlow,168,77,1,Positive
167,"""Former Vice President Joe Biden may be favored in the 2020 presidential election, but this race is far from over,""… https://t.co/PsuGibe2t5",1263129887965052935,140,2020-05-20 15:30:07,SocialFlow,200,63,1,Positive
168,Two Massachusetts men accused of helping to smuggle former Nissan chief executive Carlos Ghosn out of Japan late la… https://t.co/WqDQp8Hxlq,1263127362646020096,140,2020-05-20 15:20:05,SocialFlow,210,101,-1,Negative
169,The body of 39-year-old former WWE star Shad Gaspard has been found on a California beach three days after he went… https://t.co/yx2yP6BbsQ,1263124847934214147,139,2020-05-20 15:10:06,SocialFlow,251,100,1,Positive
170,"The F-35 pilot ""successfully ejected"" and was taken to a hospital on Elgin Air Force Base ""for evaluation and monit… https://t.co/9KQDG8CIGg",1263122378072248321,140,2020-05-20 15:00:17,SocialFlow,235,73,-1,Negative
171,Target's online sales skyrocketed 141% last quarter as the big box chain benefited from Americans shopping in bulk… https://t.co/3ITuUiRXYc,1263119815277006850,139,2020-05-20 14:50:06,SocialFlow,175,44,0,Nuetral
172,"Matt Lauer had been looking for an opportune time to publish a piece responding to Ronan Farrow's ""Catch &amp; Kill,"" w… https://t.co/bPGA0L9tJR",1263117298300342273,144,2020-05-20 14:40:06,SocialFlow,140,50,0,Nuetral
173,"Thousands are under evacuation orders in mid-Michigan this morning, a day after two dams failed following heavy rai… https://t.co/MfS4pO3Z3G",1263114784666464257,140,2020-05-20 14:30:06,SocialFlow,205,85,-1,Negative
174,"Almost immediately after special counsel Robert Mueller closed his investigation last year, Attorney General Willia… https://t.co/OAKwTd0op6",1263112253311762432,140,2020-05-20 14:20:03,SocialFlow,277,145,1,Positive
175,Purdue University President Mitch Daniels says some professors will teach behind Plexiglas in the fall https://t.co/2LLP5OPClq,1263109739359207426,126,2020-05-20 14:10:03,SocialFlow,190,73,-1,Negative
176,"US stocks have opened higher, rebounding from the prior day's session. Follow live updates. https://t.co/NvlZ4XZu9m",1263107236940918785,115,2020-05-20 14:00:07,SocialFlow,116,41,1,Positive
177,"The World Bank says the coronavirus pandemic could push as many as 60 million people into extreme poverty, which it… https://t.co/Z9KitXWPUK",1263104721197215744,140,2020-05-20 13:50:07,SocialFlow,456,268,1,Positive
178,"""My dream is to meet every kid in the entire world and give them art."" This girl has sent over 1,500 children in ho… https://t.co/efhIQaBxur",1263102200907210752,140,2020-05-20 13:40:06,SocialFlow,4432,768,0,Nuetral
179,Hillary Clinton's 2016 bid for the presidency ended in a demoralizing defeat for Democrats. But it could provide Jo… https://t.co/y7h434tAV5,1263099710157488129,140,2020-05-20 13:30:12,SocialFlow,723,121,0,Nuetral
180,There are several ongoing studies in the US to see if hydroxychloroquine successfully prevents frontline medical wo… https://t.co/R4mZjdJSLo,1263097165989191684,140,2020-05-20 13:20:06,SocialFlow,270,87,1,Positive
181,Cyclone Amphan makes landfall near the border of India and Bangladesh with sustained winds of 160 kph. Follow live… https://t.co/kgSWQlu7re,1263094652405776384,139,2020-05-20 13:10:06,SocialFlow,190,84,1,Positive
182,"Trump's conflicts with federal judges have been frequent and conspicuous. Now, judges are joining the scorning and… https://t.co/9x3JTuautn",1263092171835691008,139,2020-05-20 13:00:15,SocialFlow,189,65,1,Positive
183,Astronomers believe they have observed the first direct evidence of planet birth in a young star system 520 light-y… https://t.co/ZuiwjNi1KY,1263088335779758080,140,2020-05-20 12:45:00,SocialFlow,1266,318,1,Positive
184,"Here's everything you need to know about the coronavirus pandemic today: https://t.co/XqKGFvlZ8t

📩 Sign up to get… https://t.co/VlVo0txcDc",1263084582506725382,139,2020-05-20 12:30:06,SocialFlow,96,31,0,Nuetral
185,"CDC sources say the White House is putting politics ahead of science, which is worsening the impacts of the coronav… https://t.co/wDPWyE3CrP",1263080802012860417,140,2020-05-20 12:15:04,SocialFlow,1848,728,0,Nuetral
186,"How cycling's Team Novo Nordisk turned type 1 diabetes into its ""greatest strength"" https://t.co/CSE6GA1d9H https://t.co/5tTyvJITRu",1263077011901362181,131,2020-05-20 12:00:01,Twitter Media Studio,208,61,1,Positive
187,"For the first time since US officials began implementing lockdowns to slow the spread of Covid-19, all 50 states ar… https://t.co/ppnd2omSBx",1263073253993709570,140,2020-05-20 11:45:05,SocialFlow,293,116,-1,Negative
188,"""The competitiveness was always there, but he knew when to turn it off and when to turn it on."" Michael Jordan's da… https://t.co/M1WtxrlkkV",1263069481439580160,140,2020-05-20 11:30:05,SocialFlow,349,68,0,Nuetral
189,Dutch authorities believe that a mink may have infected a human with Covid-19 and are instituting mandatory testing… https://t.co/CXlhE1eX6E,1263065705089507328,140,2020-05-20 11:15:05,SocialFlow,289,116,0,Nuetral
190,"East Coast viewers expecting to see the ""CBS Evening News"" on Tuesday were perhaps puzzled when the broadcast faile… https://t.co/SjC4GSKRt7",1263062684444045317,140,2020-05-20 11:03:05,SocialFlow,115,27,0,Nuetral
191,Michigan Gov. Gretchen Whitmer declared a state of emergency for Midland County after both the Edenville and Sanfor… https://t.co/HWy0gACPhV,1263061002276519937,140,2020-05-20 10:56:24,SocialFlow,549,259,0,Nuetral
192,RT @NewDay: The CDC has posted 60 pages of detailed guidelines on how to reopen the US. The guidance was a slightly shorter version of a 68…,1263059798989438976,140,2020-05-20 10:51:37,TweetDeck,0,125,1,Positive
193,Top Republicans on Capitol Hill are pumping the brakes on new coronavirus stimulus spending days after House Democr… https://t.co/2KLyJUihQO,1263055184911007745,140,2020-05-20 10:33:17,SocialFlow,193,89,1,Positive
194,"The kids are bummed. Parents are super-bummed.

There are still plenty of ideas for salvaging summer camp — most fo… https://t.co/uV6E5tQ2UE",1263053334279323648,140,2020-05-20 10:25:55,SocialFlow,149,33,1,Positive
195,"Bangladesh has evacuated around 2 million people and set up 12,078 cyclone centers, an official has said. 

Cyclone… https://t.co/1vlvjl2toi",1263048833010929664,140,2020-05-20 10:08:02,SocialFlow,267,73,0,Nuetral
196,"Russia reported 8,764 new cases of coronavirus on Wednesday, bringing the country's total to at least 308,705.

The… https://t.co/fq6ObyvdcO",1263042806819565569,140,2020-05-20 09:44:06,SocialFlow,269,97,-1,Negative
197,Have you ever walked through a cloud? Maybe driven through a cloud? Fog is actually a cloud — a cloud on the ground… https://t.co/UF4maztcu1,1263040533120811015,140,2020-05-20 09:35:03,SocialFlow,247,49,0,Nuetral
198,Johnson &amp; Johnson is abandoning a product that it may be most identified with and has been selling for more than 10… https://t.co/05wqQGk2mu,1263039044352606209,144,2020-05-20 09:29:08,SocialFlow,824,381,1,Positive
199,"For the first time since officials began implementing widespread lockdowns to slow the spread of coronavirus, all 5… https://t.co/LBb2gwaQ7s",1263035173907640326,140,2020-05-20 09:13:46,SocialFlow,156,55,-1,Negative
